,date_of_event,age,citizenship,event_location,event_location_district,event_location_region,gender,type_of_injury,ammunition,killed_by,datetime
0,2023-09-24,32.0,Palestinian,Nur Shams R.C.,Tulkarm,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-09-24
1,2023-09-24,21.0,Palestinian,Nur Shams R.C.,Tulkarm,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-09-24
2,2023-09-22,16.0,Palestinian,Kfar Dan,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-09-22
3,2023-09-20,19.0,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-09-20
4,2023-09-19,15.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-09-19
5,2023-09-19,29.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,missile,Israeli security forces,2023-09-19
6,2023-09-19,24.0,Palestinian,Gaza City,Gaza,Gaza Strip,M,gunfire,live ammunition,Israeli security forces,2023-09-19
7,2023-09-19,25.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,missile,Israeli security forces,2023-09-19
8,2023-09-19,23.0,Palestinian,Jenin R.C.,Jenin,West Bank,M,gunfire,missile,Israeli security forces,2023-09-19
9,2023-09-09,15.0,Palestinian,al-'Arrub R.C.,Hebron,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-09-09
10,2023-09-05,16.0,Palestinian,Argaman,Jericho,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-09-05
11,2023-09-05,21.0,Palestinian,Nur Shams R.C.,Tulkarm,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-09-05
12,2023-09-01,45.0,Palestinian,'Aqqabah,Tubas,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-09-01
13,2023-08-31,41.0,Palestinian,Beit Sira,Ramallah and al-Bira,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-31
14,2023-08-30,14.0,Palestinian,al-Musrarah,East Jerusalem,West Bank,M,stabbing,live ammunition,Israeli security forces,2023-08-30
15,2023-08-22,17.0,Palestinian,a-Zababidah,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-22
16,2023-08-21,40.0,Israeli,Beit Hagai,Hebron,West Bank,F,gunfire,live ammunition,Palestinian civilians,2023-08-21
17,2023-08-19,28.0,Israeli,Huwarah,Nablus,West Bank,M,gunfire,live ammunition,Palestinian civilians,2023-08-19
18,2023-08-19,60.0,Israeli,Huwarah,Nablus,West Bank,M,gunfire,live ammunition,Palestinian civilians,2023-08-19
19,2023-08-17,32.0,Palestinian,Jenin,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-17
20,2023-08-16,19.0,Palestinian,Balata R.C.,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-16
21,2023-08-15,16.0,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-15
22,2023-08-15,25.0,Palestinian,'Aqbat Jaber R.C.,Jericho,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-15
23,2023-08-11,24.0,Palestinian,Tulkarm R.C.,Tulkarm,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-11
24,2023-08-10,24.0,Palestinian,Nablus,Nablus,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-10
25,2023-08-06,21.0,Palestinian,Bir al-Basha,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-06
26,2023-08-06,26.0,Palestinian,Bir al-Basha,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-06
27,2023-08-06,16.0,Palestinian,Bir al-Basha,Jenin,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-06
28,2023-08-05,22.0,Palestinian,Tel Aviv-Yafo,Israel,Israel,M,gunfire,live ammunition,Israeli civilians,2023-08-05
29,2023-08-05,42.0,Israeli,Tel Aviv-Yafo,Israel,Israel,M,gunfire,live ammunition,Palestinian civilians,2023-08-05
30,2023-08-04,18.0,Palestinian,Burqah,Ramallah and al-Bira,West Bank,M,gunfire,live ammunition,Israeli civilians,2023-08-04
31,2023-08-04,17.0,Palestinian,Tulkarm,Tulkarm,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-04
32,2023-08-02,17.0,Palestinian,Ofra,Ramallah and al-Bira,West Bank,M,gunfire,live ammunition,Israeli security forces,2023-08-02
